,rank,name,time,season,area,main,main_reward,full_reward,sub_a,sub_b,sub_a_reward,sub_b_reward
51,4,Ghost running on the snowy fields,50,Warm,Snowy Mountains,Slay the Kirin,3400z,3400z,No Sub,No Sub,0z,0z
52,4,The Summoner of the Snow Storm,50,Warm,Snowy Mountains,Slay the Kushala Daora,3600z,3600z,No Sub,No Sub,0z,0z
53,1,Poison and more Poison,50,Warm,Volcano,Hunt the Iodrome,900z,1600z,Hunt 10 Ioprey,No Sub,700z,0z
54,1,Trap lurking in the rocks,50,Warm,Volcano,Hunt the Basarios,1600z,2850z,Deliver Coal (燃石炭): X8,Hunt 10 Vespoid,1050z,200z
55,1,Trap lurking in the rocks,50,Breeding,Volcano,Hunt the Basarios,1600z,3350z,Deliver Coal (燃石炭): X8,Break the Basarios' Chest,1050z,700z
56,1,Sickle running through Heaven and Earth,50,Cold,Volcano,Hunt the Shogun Ceanataur,3200z,4500z,Hunt 3 Remobra,Deliver Secret Pouch (秘密のポーチ): X3,900z,400z
57,3,Sickle running through Heaven and Earth,50,Breeding,Volcano,Hunt the Shogun Ceanataur,2800z,4600z,Break a Shogun's Claw,Hunt 4 Ceanataur,1000z,800z
58,3,Champion of ignition,50,Cold,Volcano,Hunt the Gravios,3200z,7200z,Deliver Firecell Stone (火薬岩): X2,Deliver Firecell Stone (火薬岩): X1,2000z,2000z
59,3,Subspecies wearing black armor,50,Warm,Volcano,Hunt the Black Gravios,3200z,3200z,No Sub,No Sub,0z,0z
60,4,King of Flames,50,Warm,Volcano,Slay the Teostra,3800z,3800z,No Sub,No Sub,0z,0z
61,4,Princess of Flames,50,Warm,Volcano,Slay the Lunastra,3800z,3800z,No Sub,No Sub,0z,0z
62,2,The land where the king of the skies dwells,50,Warm,Forest and Hills,Hunt the Rathalos,3400z,5900z,Cut off the Rathalos' tail,Hunt 2 Shakalaka,1000z,1500z
63,2,Roar of the Azure Wyvern,50,Cold,Forest and Hills,Hunt the Azure Rathalos,3400z,3400z,No Sub,No Sub,0z,0z
64,2,King of the Skies and Queen of the Land,50,Breeding,Forest and Hills,Hunt the Rathalos,3400z,6600z,Hunt the Rathian,Deliver Wyvern Egg (飛竜の卵): X1,2200z,1000z
65,4,The Silent Dragon,50,Warm,Forest and Hills,Slay the Chameleos,3600z,3600z,No Sub,No Sub,0z,0z
66,3,Wyvern's Lair,50,Breeding,Tower,Hunt the Azure Rathalos,3400z,6800z,Hunt the Rathalos,No Sub,3400z,0z
67,4,Lightning striking the Old Tower,50,Warm,Tower,Slay the Kirin,3400z,3400z,No Sub,No Sub,0z,0z
68,4,The Tower of the Flame Princess Dragon,50,Warm,Tower,Slay the Lunastra,3800z,3800z,No Sub,No Sub,0z,0z
